geohash,length,lat,lon,lat_error,lon_error,in_train,in_test
qp02yc,6,-5.48492431640625,90.6536865234375,0.00274658203125,0.0054931640625,True,True
qp02yf,6,-5.47943115234375,90.6536865234375,0.00274658203125,0.0054931640625,True,True
qp02yy,6,-5.45745849609375,90.6536865234375,0.00274658203125,0.0054931640625,True,False
qp02yz,6,-5.45196533203125,90.6536865234375,0.00274658203125,0.0054931640625,True,True
qp02z1,6,-5.48492431640625,90.6646728515625,0.00274658203125,0.0054931640625,True,True
qp02z3,6,-5.48492431640625,90.6756591796875,0.00274658203125,0.0054931640625,True,True
qp02z4,6,-5.47943115234375,90.6646728515625,0.00274658203125,0.0054931640625,True,True
qp02z5,6,-5.47393798828125,90.6646728515625,0.00274658203125,0.0054931640625,True,True
qp02z6,6,-5.47943115234375,90.6756591796875,0.00274658203125,0.0054931640625,True,True
qp02z7,6,-5.47393798828125,90.6756591796875,0.00274658203125,0.0054931640625,True,True
qp02z9,6,-5.48492431640625,90.6866455078125,0.00274658203125,0.0054931640625,True,True
qp02zc,6,-5.48492431640625,90.6976318359375,0.00274658203125,0.0054931640625,True,True
qp02zd,6,-5.47943115234375,90.6866455078125,0.00274658203125,0.0054931640625,True,True
qp02ze,6,-5.47393798828125,90.6866455078125,0.00274658203125,0.0054931640625,True,True
qp02zf,6,-5.47943115234375,90.6976318359375,0.00274658203125,0.0054931640625,True,True
qp02zg,6,-5.47393798828125,90.6976318359375,0.00274658203125,0.0054931640625,True,True
qp02zh,6,-5.46844482421875,90.6646728515625,0.00274658203125,0.0054931640625,True,True
qp02zj,6,-5.46295166015625,90.6646728515625,0.00274658203125,0.0054931640625,True,True
qp02zk,6,-5.46844482421875,90.6756591796875,0.00274658203125,0.0054931640625,True,True
qp02zm,6,-5.46295166015625,90.6756591796875,0.00274658203125,0.0054931640625,True,True
qp02zn,6,-5.45745849609375,90.6646728515625,0.00274658203125,0.0054931640625,True,True
qp02zp,6,-5.45196533203125,90.6646728515625,0.00274658203125,0.0054931640625,True,True
qp02zq,6,-5.45745849609375,90.6756591796875,0.00274658203125,0.0054931640625,True,True
qp02zr,6,-5.45196533203125,90.6756591796875,0.00274658203125,0.0054931640625,True,True
qp02zs,6,-5.46844482421875,90.6866455078125,0.00274658203125,0.0054931640625,True,True
qp02zt,6,-5.46295166015625,90.6866455078125,0.00274658203125,0.0054931640625,True,True
qp02zu,6,-5.46844482421875,90.6976318359375,0.00274658203125,0.0054931640625,True,True
qp02zv,6,-5.46295166015625,90.6976318359375,0.00274658203125,0.0054931640625,True,True
qp02zw,6,-5.45745849609375,90.6866455078125,0.00274658203125,0.0054931640625,True,True
qp02zx,6,-5.45196533203125,90.6866455078125,0.00274658203125,0.0054931640625,True,True
qp02zy,6,-5.45745849609375,90.6976318359375,0.00274658203125,0.0054931640625,True,True
qp02zz,6,-5.45196533203125,90.6976318359375,0.00274658203125,0.0054931640625,True,True
qp03jq,6,-5.41351318359375,90.5877685546875,0.00274658203125,0.0054931640625,True,True
qp03jr,6,-5.40802001953125,90.5877685546875,0.00274658203125,0.0054931640625,True,True
qp03jw,6,-5.41351318359375,90.5987548828125,0.00274658203125,0.0054931640625,True,True
qp03jx,6,-5.40802001953125,90.5987548828125,0.00274658203125,0.0054931640625,True,True
qp03jy,6,-5.41351318359375,90.6097412109375,0.00274658203125,0.0054931640625,True,True
qp03jz,6,-5.40802001953125,90.6097412109375,0.00274658203125,0.0054931640625,True,True
qp03m2,6,-5.40252685546875,90.5877685546875,0.00274658203125,0.0054931640625,True,True
qp03m3,6,-5.39703369140625,90.5877685546875,0.00274658203125,0.0054931640625,True,True
