key,count,mean,median,std,min,max
0,1534,0.08105604824219682,0.041678240792505455,0.11963203822817255,1.0291829971756954e-05,1.0
15,1578,0.08192893947110846,0.0415480497022547,0.12190614769449853,3.896741322124285e-06,1.0
30,1617,0.08435735303600263,0.0442429805808779,0.12436730862174167,1.28902046923254e-05,1.0
45,1609,0.08599443826669383,0.0460230961511801,0.12281607585721942,3.994528656869007e-06,1.0
60,1668,0.08652051124650058,0.0456500054110466,0.12357096100170188,0.0001042432352805,1.0
75,1698,0.08911726786943006,0.0472832937342485,0.12559327588205282,6.464469852585363e-05,1.0
90,1750,0.09122724868013209,0.05096122211318665,0.12685715231282613,1.236341832050348e-05,1.0
105,1755,0.09212547440502808,0.0490475319918547,0.12840795125292312,4.8330524358579765e-06,1.0
120,1778,0.09243366034328539,0.051339268614494546,0.1274450679861853,7.981559426582837e-07,1.0
135,895,0.0825062601707866,0.0456873106046476,0.11380679067976028,6.859287256736325e-05,1.0
150,895,0.0839191239814173,0.0487322449812969,0.11577110555288433,1.4088935900360218e-06,1.0
165,887,0.08559760391070738,0.0487111742151674,0.11727959715120409,4.908781569015697e-05,1.0
180,884,0.08787606340588301,0.0503894932878968,0.12041445622674492,0.0001224093926207,1.0
195,894,0.08899707119420247,0.05123336720035985,0.12441925638864136,2.6410182889648863e-05,1.0
210,903,0.09430003209543543,0.052795114674608,0.1303088121214866,5.807254875558464e-05,1.0
225,914,0.09401526508921357,0.05195350161110465,0.13367833326447345,0.0001318278324707,1.0
240,921,0.10032485981399365,0.0539485698933107,0.14131884016923812,9.212147228870612e-05,1.0
255,914,0.10351925515692327,0.0586574554581141,0.14555064706409743,0.0001041334341085,1.0
270,923,0.10058370927739951,0.0554816716889099,0.14166898120355859,8.331216780984387e-06,1.0
285,925,0.10229907380684883,0.0589113574658925,0.1429742731566281,2.2839587028267456e-05,1.0
300,911,0.10624653483321923,0.0577111415238376,0.14942403471837853,4.243774659091154e-05,1.0
315,902,0.10593578510880346,0.060670893663862,0.14682800752506134,0.0002013910657434,1.0
330,895,0.10399209636193682,0.0575620927419585,0.1458964653131053,5.460200056610749e-05,1.0
345,913,0.10131290197062234,0.0562812159786544,0.1432433388281946,3.640838580498645e-05,1.0
360,928,0.1013930384437809,0.054844171669903505,0.14651302160499025,8.542479421012653e-05,1.0
375,917,0.10558409431552547,0.0580202919624548,0.14859481268253355,0.000191938664911,1.0
390,917,0.10319657905827499,0.056249284079512,0.14771897647503426,1.906448442899601e-05,1.0
405,903,0.10553319120158802,0.0593047557944032,0.14929031543016014,0.0001367239799681,1.0
420,909,0.1062511809233839,0.0582779324647975,0.15026093925483594,0.0001168479757325,1.0
435,881,0.1083368866730066,0.0587473329322994,0.15217811764567718,3.591487621644894e-05,1.0
450,889,0.10532736069424767,0.0566738421881228,0.15215499534275967,1.990684155591693e-05,1.0
465,890,0.10489536215542303,0.055366289983897796,0.15460546410620388,0.0001771917834095,1.0
480,858,0.10617528580289946,0.057936776520056146,0.15586099087641184,0.0001294207571117,1.0
495,878,0.10678244419555778,0.0583216219307965,0.15609981886083704,8.914734658294655e-05,1.0
