dataset,column,missing_count,missing_pct
train,Index,0,0.0
train,geohash,0,0.0
train,day,0,0.0
train,timestamp,0,0.0
train,demand,0,0.0
train,RoadType,600,0.007762066779647861
train,NumberofLanes,0,0.0
train,LargeVehicles,0,0.0
train,Landmarks,0,0.0
train,Temperature,2495,0.03227726102536902
train,Weather,797,0.010310612038965576
test,Index,0,0.0
test,geohash,0,0.0
test,day,0,0.0
test,timestamp,0,0.0
test,RoadType,324,0.007755277897457992
test,NumberofLanes,0,0.0
test,LargeVehicles,0,0.0
test,Landmarks,0,0.0
test,Temperature,1349,0.03228972186318158
test,Weather,431,0.0103164344870506
